on 0: Entering translator loop...
on 301: {'channel': 111, 'bx': 1005, 'tdc': 15, 'link': 9}
on 302: {'channel': 220, 'bx': 1005, 'tdc': 16, 'link': 10}
on 303: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 10}
on 304: {'channel': 207, 'bx': 1005, 'tdc': 11, 'link': 10}
on 305: {'channel': 87, 'bx': 1005, 'tdc': 11, 'link': 10}
on 306: {'channel': 211, 'bx': 1005, 'tdc': 16, 'link': 10}
on 307: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 10}
on 308: {'channel': 215, 'bx': 1005, 'tdc': 15, 'link': 10}
on 309: {'channel': 95, 'bx': 1005, 'tdc': 11, 'link': 10}
on 310: {'channel': 219, 'bx': 1005, 'tdc': 11, 'link': 10}
on 311: {'channel': 99, 'bx': 1005, 'tdc': 14, 'link': 10}
on 312: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 10}
on 313: {'channel': 103, 'bx': 1005, 'tdc': 13, 'link': 10}
on 314: {'channel': 227, 'bx': 1005, 'tdc': 16, 'link': 10}
on 315: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 10}
on 316: {'channel': 203, 'bx': 1005, 'tdc': 15, 'link': 10}
on 317: {'channel': 111, 'bx': 1005, 'tdc': 15, 'link': 10}
on 318: {'channel': 207, 'bx': 1005, 'tdc': 11, 'link': 11}
on 319: {'channel': 87, 'bx': 1005, 'tdc': 11, 'link': 11}
on 320: {'channel': 211, 'bx': 1005, 'tdc': 16, 'link': 11}
on 321: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 11}
on 322: {'channel': 215, 'bx': 1005, 'tdc': 15, 'link': 11}
on 323: {'channel': 95, 'bx': 1005, 'tdc': 11, 'link': 11}
on 324: {'channel': 219, 'bx': 1005, 'tdc': 11, 'link': 11}
on 325: {'channel': 99, 'bx': 1005, 'tdc': 14, 'link': 11}
on 326: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 11}
on 327: {'channel': 103, 'bx': 1005, 'tdc': 13, 'link': 11}
on 328: {'channel': 227, 'bx': 1005, 'tdc': 16, 'link': 11}
